,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,H14,A14,Attendance,Strictness,Season,Round,Hpts,Apts,HTS,ATS,HGSR,AGSR,Home_DS,Away_DS,Home_Form_Points,Away_Form_Points,Home_Goal_Diff_Form,Away_Goal_Diff_Form,Home_Win_Streak,Away_Win_Streak,Home_H2H_Win_Rate,Away_H2H_Win_Rate,HTV($m),ATV($m),HTPos_avg,ATPos_avg,HSPE (%),HPE (%),ASPE (%),APE (%)
55,16/09/2000,Sunderland,Derby,2.0,1.0,H,1.0,0.0,H,P Taylor,15.0,10.0,8.0,5.0,4.0,5.0,16.0,28.0,2.0,3.0,0.0,0.0,2,2,"45,343",8.727272727272727,2000,6,4,4,0.8,0.8,0.8,2.2,1.8,2.4,0.8,0.8,-5.0,-1.0,0,0,0.0,0.0,,,,,,,,
56,17/09/2000,Chelsea,Leicester,0.0,2.0,A,0.0,1.0,A,G Barber,16.0,7.0,10.0,5.0,15.0,3.0,16.0,17.0,3.0,1.0,0.0,0.0,3,3,"33,697",13.64102564102564,2000,6,6,11,1.2,2.2,1.4,0.8,1.4,0.2,1.2,2.2,0.0,3.0,0,2,0.0,0.0,,,,,,,,
57,17/09/2000,Man City,Middlesbrough,1.0,1.0,D,0.0,0.0,D,S Lodge,11.0,4.0,4.0,2.0,9.0,3.0,15.0,11.0,2.0,5.0,0.0,0.0,2,2,"32,053",11.555555555555555,2000,6,6,5,1.2,1.0,1.8,1.8,2.4,1.8,1.2,1.0,-3.0,0.0,0,0,0.0,0.0,,,,,,,,
58,17/09/2000,West Ham,Liverpool,1.0,1.0,D,0.0,1.0,A,D Ellaray,15.0,7.0,4.0,2.0,9.0,0.0,5.0,13.0,0.0,2.0,0.0,0.0,2,3,"25,998",12.571428571428571,2000,6,2,10,0.4,2.0,1.0,2.0,1.8,1.6,0.4,2.0,-4.0,2.0,0,2,0.0,0.0,,,,,,,,
59,23/09/2000,Bradford,Southampton,0.0,1.0,A,0.0,1.0,A,S Dunn,14.0,6.0,6.0,4.0,7.0,5.0,14.0,18.0,3.0,1.0,0.0,0.0,2,2,"16,163",11.070707070707071,2000,6,5,3,0.8333333333333334,1.0,0.5,1.5,1.6666666666666667,1.5,0.8333333333333334,1.0,-7.0,0.0,0,1,0.0,0.0,,,,,,,,
60,23/09/2000,Coventry,West Ham,0.0,3.0,A,0.0,2.0,A,N Barry,9.0,12.0,2.0,10.0,5.0,6.0,12.0,11.0,0.0,1.0,0.0,0.0,2,2,"21,020",10.863157894736842,2000,7,7,3,1.1666666666666667,0.5,1.0,1.0,1.5,1.6666666666666667,1.1666666666666667,0.5,-3.0,-4.0,0,0,0.0,0.0,,,,,,,,
61,23/09/2000,Derby,Leeds,1.0,1.0,D,0.0,1.0,A,B Knight,13.0,16.0,7.0,6.0,7.0,4.0,17.0,15.0,2.0,2.0,1.0,0.0,2,4,"26,248",12.253968253968255,2000,7,4,7,0.6666666666666666,1.4,2.0,1.2,2.3333333333333335,1.0,0.6666666666666666,1.4,-2.0,1.0,0,0,0.0,0.0,,,,,,,,
62,23/09/2000,Ipswich,Arsenal,1.0,1.0,D,0.0,0.0,D,P Durkin,17.0,10.0,6.0,4.0,4.0,7.0,8.0,13.0,1.0,2.0,0.0,0.0,2,4,"22,030",8.818181818181818,2000,7,7,7,1.1666666666666667,1.8333333333333333,1.1666666666666667,2.0,1.5,1.3333333333333333,1.1666666666666667,1.8333333333333333,-2.0,4.0,1,1,0.0,0.0,,,,,,,,
63,23/09/2000,Liverpool,Sunderland,1.0,1.0,D,1.0,1.0,D,M Riley,11.0,8.0,6.0,3.0,12.0,3.0,14.0,18.0,2.0,2.0,0.0,0.0,3,2,"44,713",14.965853658536586,2000,7,11,7,1.8333333333333333,1.1666666666666667,1.8333333333333333,1.0,1.5,1.6666666666666667,1.8333333333333333,1.1666666666666667,2.0,-4.0,0,1,0.0,0.0,,,,,,,,
64,23/09/2000,Man United,Chelsea,3.0,3.0,D,3.0,2.0,H,P Jones,11.0,13.0,5.0,5.0,8.0,4.0,15.0,19.0,3.0,2.0,0.0,0.0,4,3,"67,568",13.10344827586207,2000,7,14,6,2.3333333333333335,1.0,2.8333333333333335,1.1666666666666667,0.6666666666666666,1.5,2.3333333333333335,1.0,13.0,-2.0,3,0,0.0,0.0,,,,,,,,
