Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
17/09/2008,Man United,Villarreal,0,0,
30/09/2008,Aalborg,Man United,0,3,
30/09/2008,Arsenal,Porto,4,0,
01/10/2008,CFR Cluj,Chelsea,0,0,
01/10/2008,Liverpool,PSV Eindhoven,3,1,
21/10/2008,Fenerbahçe,Arsenal,2,5,
21/10/2008,Man United,Celtic,3,0,
22/10/2008,Atlético Madrid,Liverpool,1,1,
22/10/2008,Chelsea,Roma,1,0,
04/11/2008,Liverpool,Atlético Madrid,1,1,
04/11/2008,Roma,Chelsea,3,1,
05/11/2008,Arsenal,Fenerbahçe,0,0,
05/11/2008,Celtic,Man United,1,1,
25/11/2008,Arsenal,Dynamo Kyiv,1,0,
25/11/2008,Villarreal,Man United,0,0,
26/11/2008,Bordeaux,Chelsea,1,1,
26/11/2008,Liverpool,Marseille,1,0,
09/12/2008,Chelsea,CFR Cluj,2,1,
09/12/2008,PSV Eindhoven,Liverpool,1,3,
10/12/2008,Man United,Aalborg,2,2,
10/12/2008,Porto,Arsenal,2,0,
24/02/2009,Arsenal,Roma,1,0,
24/02/2009,Inter,Man United,0,0,
25/02/2009,Chelsea,Juventus,1,0,
25/02/2009,Real Madrid,Liverpool,0,1,
10/03/2009,Juventus,Chelsea,2,2,
10/03/2009,Liverpool,Real Madrid,4,0,
11/03/2009,Man United,Inter,2,0,
11/03/2009,Roma,Arsenal,(,),
07/04/2009,Man United,Porto,2,2,
07/04/2009,Villarreal,Arsenal,1,1,
08/04/2009,Liverpool,Chelsea,1,3,
14/04/2009,Chelsea,Liverpool,4,4,
15/04/2009,Arsenal,Villarreal,3,0,
15/04/2009,Porto,Man United,0,1,
28/04/2009,Barcelona,Chelsea,0,0,
29/04/2009,Man United,Arsenal,1,0,
05/05/2009,Arsenal,Man United,1,3,
06/05/2009,Chelsea,Barcelona,1,1,
27/05/2009,Barcelona,Man United,2,0,
15/09/2009,Beşiktaş,Man United,0,1,
15/09/2009,Chelsea,Porto,1,0,
16/09/2009,Liverpool,Debrecen,1,0,
16/09/2009,Standard Liège,Arsenal,2,3,
29/09/2009,Arsenal,Olympiacos,2,0,
29/09/2009,Fiorentina,Liverpool,2,0,
30/09/2009,APOEL FC,Chelsea,0,1,
30/09/2009,Man United,Wolfsburg,2,1,
20/10/2009,AZ Alkmaar,Arsenal,1,1,
20/10/2009,Liverpool,Lyon,1,2,
21/10/2009,CSKA Moscow,Man United,0,1,
21/10/2009,Chelsea,Atlético Madrid,4,0,
03/11/2009,Atlético Madrid,Chelsea,2,2,
03/11/2009,Man United,CSKA Moscow,3,3,
04/11/2009,Arsenal,AZ Alkmaar,4,1,
04/11/2009,Lyon,Liverpool,1,1,
24/11/2009,Arsenal,Standard Liège,2,0,
24/11/2009,Debrecen,Liverpool,0,1,
25/11/2009,Man United,Beşiktaş,0,1,
25/11/2009,Porto,Chelsea,0,1,
08/12/2009,Chelsea,APOEL FC,2,2,
08/12/2009,Wolfsburg,Man United,1,3,
09/12/2009,Liverpool,Fiorentina,1,2,
09/12/2009,Olympiacos,Arsenal,1,0,
16/02/2010,Milan,Man United,2,3,
17/02/2010,Porto,Arsenal,2,1,
24/02/2010,Inter,Chelsea,2,1,
09/03/2010,Arsenal,Porto,5,0,
10/03/2010,Man United,Milan,4,0,
16/03/2010,Chelsea,Inter,0,1,
30/03/2010,Bayern Munich,Man United,2,1,
